id,name,category,style_type,color,pattern,warmth_index,gender
45,Stainless Steel Chronograph,Accessories,Formal,Silver,Solid,1,Male
46,Plaid Dress Shirt,Top,Smart Casual,Blue/White,Checkered,3,Male
47,Olive Field Jacket,Outerwear,Casual,Olive,Solid,5,Unisex
48,Black Slim Fit Jeans,Bottom,Smart Casual,Black,Solid,5,Unisex
49,Chunky Knit Sweater,Top,Casual,Cream,Solid,8,Unisex
50,Burgundy Leather Loafers,Footwear,Smart Casual,Burgundy,Solid,4,Male
51,Gold Frame Round Glasses,Accessories,Smart Casual,Gold,Solid,1,Unisex
52,Red Puffer Vest,Outerwear,Casual,Red,Solid,6,Unisex
53,White Linen Trousers,Bottom,Smart Casual,White,Solid,2,Unisex
54,Brown Brogues,Footwear,Formal,Brown,Solid,5,Male
55,Black Silk Pocket Square,Accessories,Formal,Black,Solid,1,Male
56,Navy Polo Shirt,Top,Smart Casual,Navy,Solid,2,Male
57,Khaki Shorts,Bottom,Casual,Khaki,Solid,2,Male
58,Leather Weekend Bag,Accessories,Smart Casual,Brown,Solid,1,Unisex
59,Rain Poncho,Outerwear,Casual,Clear,Solid,3,Unisex
60,Bean Boots (Waterproof),Footwear,Casual,Brown,Solid,7,Unisex
61,White Silk Blouse,Top,Formal,White,Solid,2,Female
62,Black Pencil Skirt,Bottom,Formal,Black,Solid,3,Female
63,Beige Cashmere Cardigan,Outerwear,Smart Casual,Beige,Solid,5,Female
64,Classic Black Stilettos,Footwear,Formal,Black,Solid,2,Female
65,Pearl Necklace,Accessories,Formal,White,Solid,1,Female
66,Floral Wrap Top,Top,Smart Casual,Multicolor,Floral,1,Female
67,High-Waisted Wide Leg Trousers,Bottom,Smart Casual,Camel,Solid,4,Female
68,Red Strappy Heels,Footwear,Formal,Red,Solid,1,Female
69,Rose Gold Minimalist Watch,Accessories,Smart Casual,Rose Gold,Solid,1,Female
70,White Cropped Tee,Top,Casual,White,Solid,1,Female
71,High-Waisted Denim Shorts,Bottom,Casual,Light Blue,Solid,1,Female
72,Leather Mules,Footwear,Smart Casual,Black,Solid,2,Female
73,Oversized Denim Jacket,Outerwear,Casual,Light Blue,Solid,4,Female
74,Statement Hoop Earrings,Accessories,Casual,Gold,Solid,1,Female
75,Athletic Crop Top,Top,Athletic,Black,Solid,2,Female
76,High-Waisted Gym Leggings,Bottom,Athletic,Black,Solid,3,Female
77,Pastel Running Shoes,Footwear,Athletic,Pink,Solid,2,Female
78,Faux Fur Coat,Outerwear,Formal,White,Solid,8,Female
79,Silver Clutch Bag,Accessories,Formal,Silver,Solid,1,Female
80,Striped Breton Top,Top,Casual,White/Navy,Striped,3,Female
81,Black Athletic Shorts,Bottom,Athletic,Black,Solid,2,Male
82,Moisture-Wicking Gym Tee,Top,Athletic,Grey,Solid,1,Male
83,Neon Training Shoes,Footwear,Athletic,Neon Green,Solid,2,Male
84,Gym Duffel Bag,Accessories,Athletic,Black,Solid,1,Unisex
85,Khaki Pleated Skirt,Bottom,Casual,Khaki,Solid,3,Female
86,Emerald Green Velvet Blazer,Outerwear,Formal,Green,Solid,5,Female
87,Brown Knee-High Boots,Footwear,Smart Casual,Brown,Solid,6,Female
88,Navy Blue Blazer,Outerwear,Smart Casual,Navy,Solid,5,Female
89,Satin Camisole,Top,Formal,Champagne,Solid,1,Female
90,Tortoiseshell Sunglasses,Accessories,Smart Casual,Brown,Pattern,1,Female
91,Black A-Line Midi Skirt,Bottom,Smart Casual,Black,Solid,3,Female
92,Chunky Beige Sneakers,Footwear,Casual,Beige,Solid,4,Female
93,Gold Chain Necklace,Accessories,Smart Casual,Gold,Solid,1,Unisex
94,Cropped Puffer Jacket,Outerwear,Casual,Black,Solid,8,Female
95,Yellow Sundress (Top Equivalent),Top,Casual,Yellow,Solid,1,Female
96,White Denim Skirt,Bottom,Casual,White,Solid,2,Female
97,Strappy Flat Sandals,Footwear,Casual,Brown,Solid,1,Female
98,Straw Sun Hat,Accessories,Casual,Tan,Solid,1,Female
99,Tailored Tweed Jacket,Outerwear,Formal,Grey/White,Checkered,5,Female
100,Burgundy Ankle Boots,Footwear,Smart Casual,Burgundy,Solid,5,Female
